top_rank,trial_number,trial_value,best_iter,seed,model_path,params
5,36,3600000.0,18,155555,/home/joacosk/Documents/maestria/Q2/script_project/src/models/optuna_models_train/train_model_lgb_optimization_top_5_seed_155555_experimento_train_prueba_de_mentira.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1117, ""learning_rate"": 0.06149802306698968, ""min_data_in_leaf"": 6, ""feature_fraction"": 0.4230032054223894, ""bagging_fraction"": 0.7995770185591446, ""lambda_1"": 3.030059381199741, ""lambda_2"": 6.4974991218277145, ""seed"": 155555}"
5,36,3600000.0,18,555555,/home/joacosk/Documents/maestria/Q2/script_project/src/models/optuna_models_train/train_model_lgb_optimization_top_5_seed_555555_experimento_train_prueba_de_mentira.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1117, ""learning_rate"": 0.06149802306698968, ""min_data_in_leaf"": 6, ""feature_fraction"": 0.4230032054223894, ""bagging_fraction"": 0.7995770185591446, ""lambda_1"": 3.030059381199741, ""lambda_2"": 6.4974991218277145, ""seed"": 555555}"
5,36,3600000.0,18,551155,/home/joacosk/Documents/maestria/Q2/script_project/src/models/optuna_models_train/train_model_lgb_optimization_top_5_seed_551155_experimento_train_prueba_de_mentira.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1117, ""learning_rate"": 0.06149802306698968, ""min_data_in_leaf"": 6, ""feature_fraction"": 0.4230032054223894, ""bagging_fraction"": 0.7995770185591446, ""lambda_1"": 3.030059381199741, ""lambda_2"": 6.4974991218277145, ""seed"": 551155}"
5,36,3600000.0,18,515151,/home/joacosk/Documents/maestria/Q2/script_project/src/models/optuna_models_train/train_model_lgb_optimization_top_5_seed_515151_experimento_train_prueba_de_mentira.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1117, ""learning_rate"": 0.06149802306698968, ""min_data_in_leaf"": 6, ""feature_fraction"": 0.4230032054223894, ""bagging_fraction"": 0.7995770185591446, ""lambda_1"": 3.030059381199741, ""lambda_2"": 6.4974991218277145, ""seed"": 515151}"
5,36,3600000.0,18,151515,/home/joacosk/Documents/maestria/Q2/script_project/src/models/optuna_models_train/train_model_lgb_optimization_top_5_seed_151515_experimento_train_prueba_de_mentira.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1117, ""learning_rate"": 0.06149802306698968, ""min_data_in_leaf"": 6, ""feature_fraction"": 0.4230032054223894, ""bagging_fraction"": 0.7995770185591446, ""lambda_1"": 3.030059381199741, ""lambda_2"": 6.4974991218277145, ""seed"": 151515}"
1,30,3860000.0,12,155555,/home/joacosk/Documents/maestria/Q2/script_project/src/models/optuna_models_train/train_model_lgb_optimization_top_1_seed_155555_experimento_train_prueba_de_mentira.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1540, ""learning_rate"": 0.018702141562938528, ""min_data_in_leaf"": 42, ""feature_fraction"": 0.38407047019941504, ""bagging_fraction"": 0.7311177978444481, ""lambda_1"": 2.4586912457761425, ""lambda_2"": 7.568057448807794, ""seed"": 155555}"
1,30,3860000.0,12,555555,/home/joacosk/Documents/maestria/Q2/script_project/src/models/optuna_models_train/train_model_lgb_optimization_top_1_seed_555555_experimento_train_prueba_de_mentira.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1540, ""learning_rate"": 0.018702141562938528, ""min_data_in_leaf"": 42, ""feature_fraction"": 0.38407047019941504, ""bagging_fraction"": 0.7311177978444481, ""lambda_1"": 2.4586912457761425, ""lambda_2"": 7.568057448807794, ""seed"": 555555}"
1,30,3860000.0,12,551155,/home/joacosk/Documents/maestria/Q2/script_project/src/models/optuna_models_train/train_model_lgb_optimization_top_1_seed_551155_experimento_train_prueba_de_mentira.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1540, ""learning_rate"": 0.018702141562938528, ""min_data_in_leaf"": 42, ""feature_fraction"": 0.38407047019941504, ""bagging_fraction"": 0.7311177978444481, ""lambda_1"": 2.4586912457761425, ""lambda_2"": 7.568057448807794, ""seed"": 551155}"
1,30,3860000.0,12,515151,/home/joacosk/Documents/maestria/Q2/script_project/src/models/optuna_models_train/train_model_lgb_optimization_top_1_seed_515151_experimento_train_prueba_de_mentira.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1540, ""learning_rate"": 0.018702141562938528, ""min_data_in_leaf"": 42, ""feature_fraction"": 0.38407047019941504, ""bagging_fraction"": 0.7311177978444481, ""lambda_1"": 2.4586912457761425, ""lambda_2"": 7.568057448807794, ""seed"": 515151}"
1,30,3860000.0,12,151515,/home/joacosk/Documents/maestria/Q2/script_project/src/models/optuna_models_train/train_model_lgb_optimization_top_1_seed_151515_experimento_train_prueba_de_mentira.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1540, ""learning_rate"": 0.018702141562938528, ""min_data_in_leaf"": 42, ""feature_fraction"": 0.38407047019941504, ""bagging_fraction"": 0.7311177978444481, ""lambda_1"": 2.4586912457761425, ""lambda_2"": 7.568057448807794, ""seed"": 151515}"
2,33,3840000.0,24,155555,/home/joacosk/Documents/maestria/Q2/script_project/src/models/optuna_models_train/train_model_lgb_optimization_top_2_seed_155555_experimento_train_prueba_de_mentira.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1158, ""learning_rate"": 0.01575607116194076, ""min_data_in_leaf"": 50, ""feature_fraction"": 0.45880060857980925, ""bagging_fraction"": 0.699845026104689, ""lambda_1"": 2.8512449225019356, ""lambda_2"": 6.636983949123647, ""seed"": 155555}"
